CustomerID,Age,Subscription_Duration_Months,Contract_Type,Monthly_Logins,Last_Purchase_Days_Ago,App_Usage_Time_Min,Monthly_Spend,Discount_Usage_Percentage,Customer_Support_Calls,Satisfaction_Score,Is_Churn
CUST-00001,35,25,Monthly,14,16,9.0,171.14,0.1,3,3,0
CUST-00002,50,33,Annual,13,27,26.1,28.98,0.33,1,4,0
CUST-00003,58,16,Monthly,10,11,30.5,229.94,0.33,1,5,0
CUST-00004,56,50,Monthly,7,3,18.5,46.95,0.15,0,5,0
CUST-00005,35,43,Monthly,13,14,27.7,168.75,0.32,1,5,0
CUST-00006,57,21,Annual,7,2,12.6,57.25,0.34,2,4,0
CUST-00007,66,38,Monthly,9,21,12.4,39.8,0.54,0,5,0
CUST-00008,28,34,Annual,13,10,20.3,19.4,0.67,3,3,0
CUST-00009,44,49,Monthly,24,17,24.1,120.13,0.2,3,2,1
CUST-00010,18,6,Monthly,15,4,50.7,24.07,0.39,0,5,0
CUST-00011,64,45,Monthly,8,6,10.5,52.0,0.44,2,4,1
CUST-00012,29,59,Annual,12,17,15.8,195.91,0.17,0,5,0
CUST-00013,22,49,Annual,21,14,34.0,216.77,0.47,3,4,0
CUST-00014,51,35,Monthly,17,10,18.3,294.6,0.62,2,4,0
CUST-00015,62,34,Monthly,9,87,19.0,205.87,0.06,2,4,1
CUST-00016,45,12,Monthly,7,8,41.7,39.72,0.46,2,4,0
CUST-00017,21,5,Monthly,8,36,19.8,112.98,0.1,4,4,1
CUST-00018,63,8,Annual,11,9,24.3,341.61,0.41,0,5,0
CUST-00019,32,27,Monthly,9,3,21.4,20.64,0.28,1,5,0
CUST-00020,33,26,Monthly,15,7,25.6,399.27,0.19,2,5,0
CUST-00021,24,8,Monthly,5,36,23.6,54.95,0.36,1,5,0
CUST-00022,38,40,Annual,17,44,27.5,41.11,0.12,3,4,0
CUST-00023,69,7,Annual,14,1,27.3,23.93,0.18,1,4,0
CUST-00024,44,11,Monthly,10,27,26.1,100.04,0.46,3,4,1
CUST-00025,39,23,Annual,11,2,40.7,24.88,0.37,0,5,0
CUST-00026,57,30,Monthly,15,16,26.6,116.8,0.46,2,4,0
CUST-00027,32,14,Annual,8,29,22.0,63.18,0.22,3,4,0
CUST-00028,35,36,Annual,10,31,24.0,75.02,0.11,2,4,0
CUST-00029,37,14,Monthly,7,26,24.6,105.13,0.29,1,5,0
CUST-00030,56,2,Monthly,8,3,24.3,344.42,0.39,4,3,1
CUST-00031,56,49,Monthly,13,13,16.9,27.8,0.33,2,4,0
CUST-00032,44,41,Monthly,14,0,10.3,34.09,0.14,0,5,0
CUST-00033,37,15,Annual,7,3,1.0,146.28,0.41,2,5,0
CUST-00034,55,45,Annual,13,49,9.5,30.86,0.47,3,3,0
CUST-00035,26,15,Annual,16,37,23.8,35.4,0.23,1,5,0
